mode,date,tap,time,count
bus,20200224,off,00:00,442
bus,20200224,off,00:15,300
bus,20200224,off,00:30,204
bus,20200224,off,00:45,246
bus,20200224,off,01:00,152
bus,20200224,off,01:15,185
bus,20200224,off,01:30,118
bus,20200224,off,01:45,202
bus,20200224,off,02:00,101
bus,20200224,off,02:15,177
bus,20200224,off,02:30,156
bus,20200224,off,02:45,163
bus,20200224,off,03:00,101
bus,20200224,off,03:15,129
bus,20200224,off,03:30,143
bus,20200224,off,03:45,159
bus,20200224,off,04:00,132
bus,20200224,off,04:15,202
bus,20200224,off,04:30,218
bus,20200224,off,04:45,510
bus,20200224,off,05:00,903
bus,20200224,off,05:15,1477
bus,20200224,off,05:30,2104
bus,20200224,off,05:45,3369
bus,20200224,off,06:00,4122
bus,20200224,off,06:15,6066
bus,20200224,off,06:30,8000
bus,20200224,off,06:45,9988
bus,20200224,off,07:00,10796
bus,20200224,off,07:15,15500
bus,20200224,off,07:30,19936
bus,20200224,off,07:45,27528
bus,20200224,off,08:00,31352
bus,20200224,off,08:15,34150
bus,20200224,off,08:30,35197
bus,20200224,off,08:45,29963
bus,20200224,off,09:00,21128
bus,20200224,off,09:15,16909
bus,20200224,off,09:30,14648
bus,20200224,off,09:45,13219
bus,20200224,off,10:00,10292
bus,20200224,off,10:15,9701
bus,20200224,off,10:30,9834
bus,20200224,off,10:45,9835
bus,20200224,off,11:00,8703
bus,20200224,off,11:15,8932
bus,20200224,off,11:30,9380
bus,20200224,off,11:45,9482
bus,20200224,off,12:00,8811
bus,20200224,off,12:15,9212
bus,20200224,off,12:30,9288
bus,20200224,off,12:45,9745
bus,20200224,off,13:00,9068
bus,20200224,off,13:15,9695
bus,20200224,off,13:30,10004
bus,20200224,off,13:45,10047
bus,20200224,off,14:00,9868
bus,20200224,off,14:15,10897
bus,20200224,off,14:30,11639
bus,20200224,off,14:45,14508
bus,20200224,off,15:00,15988
bus,20200224,off,15:15,22065
bus,20200224,off,15:30,24675
bus,20200224,off,15:45,24511
bus,20200224,off,16:00,21248
bus,20200224,off,16:15,19133
bus,20200224,off,16:30,18066
bus,20200224,off,16:45,18007
bus,20200224,off,17:00,17709
bus,20200224,off,17:15,19883
bus,20200224,off,17:30,21075
bus,20200224,off,17:45,22357
bus,20200224,off,18:00,21384
bus,20200224,off,18:15,20785
bus,20200224,off,18:30,17668
bus,20200224,off,18:45,14692
bus,20200224,off,19:00,11746
bus,20200224,off,19:15,9188
bus,20200224,off,19:30,7207
bus,20200224,off,19:45,5953
bus,20200224,off,20:00,5169
bus,20200224,off,20:15,4772
bus,20200224,off,20:30,4219
bus,20200224,off,20:45,3593
bus,20200224,off,21:00,3496
bus,20200224,off,21:15,3274
bus,20200224,off,21:30,3070
bus,20200224,off,21:45,2450
bus,20200224,off,22:00,2304
bus,20200224,off,22:15,2159
bus,20200224,off,22:30,1760
bus,20200224,off,22:45,1464
bus,20200224,off,23:00,1144
bus,20200224,off,23:15,927
bus,20200224,off,23:30,761
bus,20200224,off,23:45,601
bus,20200224,on,00:00,257
bus,20200224,on,00:15,266
bus,20200224,on,00:30,263
bus,20200224,on,00:45,169
bus,20200224,on,01:00,210
bus,20200224,on,01:15,97
bus,20200224,on,01:30,230
bus,20200224,on,01:45,119
bus,20200224,on,02:00,162
bus,20200224,on,02:15,82
bus,20200224,on,02:30,220
bus,20200224,on,02:45,100
bus,20200224,on,03:00,154
bus,20200224,on,03:15,92
bus,20200224,on,03:30,138
bus,20200224,on,03:45,188
bus,20200224,on,04:00,171
bus,20200224,on,04:15,163
bus,20200224,on,04:30,473
bus,20200224,on,04:45,857
bus,20200224,on,05:00,1446
bus,20200224,on,05:15,2303
bus,20200224,on,05:30,3437
bus,20200224,on,05:45,4610
bus,20200224,on,06:00,6582
bus,20200224,on,06:15,8204
bus,20200224,on,06:30,10576
bus,20200224,on,06:45,12698
bus,20200224,on,07:00,18704
bus,20200224,on,07:15,26163
bus,20200224,on,07:30,33477
bus,20200224,on,07:45,38241
bus,20200224,on,08:00,38994
bus,20200224,on,08:15,34731
bus,20200224,on,08:30,27943
bus,20200224,on,08:45,20296
bus,20200224,on,09:00,16273
bus,20200224,on,09:15,14215
bus,20200224,on,09:30,12027
bus,20200224,on,09:45,10688
bus,20200224,on,10:00,10178
bus,20200224,on,10:15,10141
bus,20200224,on,10:30,9774
bus,20200224,on,10:45,9335
bus,20200224,on,11:00,9176
bus,20200224,on,11:15,9742
bus,20200224,on,11:30,9814
bus,20200224,on,11:45,9236
bus,20200224,on,12:00,9541
